no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_asset_value
4,0,0,3800000,8900000,4,844,0,30400000
1,0,0,1700000,6400000,10,452,1,9700000
2,0,0,1000000,2000000,10,366,1,6100000
5,0,0,300000,1100000,2,300,0,1700000
2,0,1,6600000,15000000,18,470,1,31200000
2,1,0,8700000,25000000,20,861,0,53700000
4,0,0,9400000,29400000,12,562,0,84600000
0,0,0,4400000,10800000,14,463,1,25700000
4,1,0,400000,900000,12,478,1,2100000
2,1,1,300000,1100000,2,702,0,1200000
2,1,1,4300000,12900000,20,618,0,28800000
4,0,0,1600000,4500000,12,633,0,8400000
5,1,1,6200000,23600000,10,331,1,61300000
3,1,1,4200000,9700000,16,841,0,29900000
4,1,1,9000000,18100000,12,764,0,49500000
0,0,0,2700000,10600000,6,591,0,15700000
1,0,1,9700000,35900000,2,719,0,58500000
2,0,0,3300000,6800000,14,317,1,19000000
0,1,0,300000,1100000,8,778,0,2000000
3,0,1,7400000,18200000,14,302,1,31600000
5,1,0,7100000,19700000,8,502,1,48000000
5,1,1,7300000,22100000,18,879,0,59200000
1,1,0,8400000,23400000,14,437,1,62700000
0,1,1,3300000,10800000,12,797,0,17600000
4,1,1,5800000,23200000,18,456,1,50400000
0,1,0,600000,1600000,6,647,0,4300000
0,1,0,7200000,15800000,12,379,1,50000000
1,1,1,9100000,32900000,2,717,0,33700000
5,0,0,900000,2300000,16,545,1,3800000
2,0,0,800000,3200000,8,317,1,4200000
1,1,0,8500000,32900000,10,570,0,37300000
0,1,1,9000000,18700000,18,865,0,59000000
3,0,0,7000000,19500000,14,719,0,50900000
3,0,0,200000,600000,16,821,0,1100000
4,1,1,400000,800000,10,859,0,2400000
3,1,0,5100000,18200000,10,395,1,29900000
2,1,1,700000,2600000,12,429,1,6400000
3,0,0,400000,1200000,12,861,0,2100000
0,1,1,9500000,20800000,14,565,0,74300000
5,0,0,8800000,22600000,10,357,1,39600000
3,1,1,1800000,3600000,18,465,1,9100000
4,1,1,6800000,13900000,8,479,1,56100000
3,1,0,1500000,5500000,16,717,0,8600000
3,0,0,1600000,5500000,12,425,1,7700000
2,1,0,4600000,16700000,2,786,0,26100000
5,1,1,2200000,6700000,6,382,1,15400000
3,1,1,2900000,8500000,12,564,0,13400000
0,0,0,200000,700000,8,501,1,1500000
2,1,1,2500000,9400000,10,727,0,23500000
4,1,0,3600000,7500000,6,894,0,17800000
0,0,1,5500000,16700000,18,829,0,25500000
4,1,0,6600000,17400000,20,506,1,45700000
2,0,1,8600000,32100000,6,802,0,60400000
5,1,0,600000,1500000,14,543,1,3600000
3,0,1,1400000,3200000,20,772,0,10000000
3,0,0,4000000,11100000,12,572,0,24700000
0,1,1,4900000,11900000,16,709,0,37800000
5,0,0,2000000,6200000,18,402,1,14400000
1,1,1,5200000,19300000,8,481,1,46800000
5,0,1,8900000,28800000,6,772,0,47900000
1,0,1,6500000,20600000,2,306,0,39100000
2,1,0,1300000,4500000,6,415,1,5000000
3,1,0,9400000,35000000,16,548,1,63500000
5,1,0,5000000,11200000,8,701,0,28200000
2,0,0,3000000,7700000,12,890,0,19500000
5,1,1,9900000,33300000,6,364,1,60100000
5,0,1,700000,1300000,20,704,0,4400000
3,0,1,4000000,10600000,10,318,1,19500000
5,1,0,3100000,9600000,2,761,0,22200000
4,1,0,4500000,15100000,6,693,0,29000000
3,1,0,9700000,20600000,16,524,1,68800000
2,1,1,2000000,5300000,10,681,0,13500000
2,0,1,8100000,22300000,18,737,0,69200000
0,1,0,5700000,15900000,16,638,0,30400000
4,1,0,5800000,12800000,2,656,0,24300000
1,0,0,1800000,6500000,6,540,1,11800000
4,1,1,9100000,35200000,6,341,1,32600000
0,1,1,4800000,17500000,2,371,0,40700000
3,1,1,3800000,10500000,12,886,0,21700000
0,1,0,1900000,4100000,18,801,0,7200000
3,1,1,3600000,9500000,16,748,0,22400000
2,1,1,7400000,28200000,8,376,1,49500000
4,1,1,6600000,14300000,8,371,1,46200000
2,0,0,1800000,5300000,6,826,0,13000000
4,1,0,9200000,27200000,12,873,0,51500000
5,1,1,2400000,8600000,8,309,1,9600000
4,1,0,5600000,13300000,20,869,0,37300000
5,0,0,3800000,13900000,12,534,1,18600000
3,1,1,4500000,17900000,6,787,0,31900000
0,0,1,900000,2200000,16,566,0,3400000
0,1,0,2800000,9900000,8,742,0,14600000
2,1,0,7500000,23100000,4,824,0,58800000
4,0,0,1400000,3100000,14,575,0,11400000
2,0,1,3800000,10900000,10,766,0,17400000
1,1,1,1700000,5000000,10,888,0,10100000
3,0,1,9000000,30400000,6,638,0,63900000
5,1,1,7300000,23300000,6,622,0,55600000
1,1,0,7400000,19800000,18,458,1,50500000
1,1,0,9000000,28200000,16,327,1,39200000
0,1,0,3000000,6500000,2,612,0,20600000
1,0,0,800000,2900000,8,682,0,6900000
2,0,0,4800000,13200000,2,583,0,34200000
5,1,0,6400000,18300000,8,697,0,39700000
3,0,0,9200000,27100000,12,306,1,54900000
2,1,0,2800000,6000000,18,816,0,21900000
4,1,1,8500000,28900000,20,455,1,52900000
3,0,1,4700000,16400000,10,318,1,40000000
4,1,1,9800000,21200000,20,355,1,77100000
2,1,1,3800000,8900000,16,389,1,20200000
2,0,0,500000,1500000,2,888,0,3900000
2,0,1,6900000,15600000,6,352,1,50900000
4,1,1,9600000,30100000,12,870,0,50800000
3,1,0,2900000,6500000,18,827,0,22500000
2,0,0,9800000,20900000,12,768,0,65600000
0,0,0,7100000,15400000,18,707,0,46500000
1,1,1,7700000,19100000,10,355,1,44700000
3,0,0,1400000,3300000,2,652,0,7600000
3,0,0,7800000,15900000,2,665,0,47900000
5,1,1,1700000,6000000,18,420,1,8100000
2,1,0,8500000,32700000,18,471,1,68400000
5,1,0,1900000,7500000,20,715,0,17200000
2,1,1,6700000,15200000,10,689,0,30000000
3,0,1,6900000,16400000,4,787,0,47400000
2,0,0,2600000,7800000,4,819,0,14600000
4,0,1,9600000,21100000,6,809,0,69000000
1,1,1,6800000,17000000,2,744,0,46600000
0,1,0,3200000,11300000,6,484,1,19600000
4,1,0,2900000,10400000,6,673,0,19100000
3,0,1,7900000,21200000,18,695,0,51100000
4,1,1,3900000,12400000,12,473,1,28000000
4,0,1,4600000,11000000,2,491,1,32600000
3,1,1,700000,1700000,8,733,0,4900000
0,1,0,5200000,15600000,20,434,1,43500000
3,1,1,5900000,20600000,10,777,0,34100000
4,0,0,7200000,19100000,4,774,0,37900000
1,1,1,8700000,27000000,10,717,0,60700000
3,1,1,1100000,3500000,12,503,1,6800000
1,0,1,4000000,10900000,14,598,0,28200000
2,0,0,9800000,32400000,2,543,0,75100000
0,1,1,2700000,6800000,20,796,0,13800000
3,1,1,8800000,34600000,8,386,1,55700000
5,1,1,3300000,7800000,16,632,0,21000000
1,0,1,6900000,23400000,4,481,0,53400000
3,0,1,900000,3500000,4,770,1,3300000
3,0,1,4100000,15500000,6,667,0,23100000
3,1,1,4700000,17500000,8,585,0,18800000
5,0,1,3400000,11600000,16,479,1,28500000
2,0,0,9600000,22500000,18,851,0,60600000
3,1,1,7000000,16200000,6,378,1,58400000
5,0,0,5700000,12900000,18,807,0,29100000
1,1,1,8200000,32400000,18,831,0,60600000
2,1,0,2100000,5100000,12,674,0,14200000
1,1,1,8000000,28100000,18,725,0,45200000
2,1,0,8000000,29300000,4,600,0,65600000
0,1,1,9400000,27000000,10,536,1,44700000
0,0,0,8400000,20600000,10,477,1,39900000
1,1,1,1900000,5000000,6,560,0,10600000
0,1,1,4200000,16400000,20,539,1,26100000
5,0,0,2600000,9100000,8,852,0,18000000
3,1,0,3700000,8500000,20,853,0,26400000
0,0,0,8800000,30900000,12,729,0,39500000
2,1,0,2100000,4700000,2,546,1,16400000
3,0,1,900000,2400000,10,489,1,4100000
3,0,1,9800000,35400000,6,869,0,63900000
2,1,0,8000000,20000000,2,502,1,47800000
0,0,0,9800000,38800000,8,652,0,77300000
0,1,1,300000,1100000,8,789,0,1700000
4,1,0,2700000,8100000,4,325,0,19100000
3,0,1,7400000,19600000,2,716,0,46300000
3,0,0,9200000,34300000,18,523,1,67500000
5,1,0,9500000,22200000,20,352,1,62300000
5,0,1,3800000,14400000,2,345,0,21800000
0,0,0,8300000,19400000,18,649,0,54200000
2,0,1,2800000,7400000,18,666,0,12100000
0,0,0,8600000,20900000,10,813,0,54000000
0,1,0,5400000,16800000,10,599,0,34800000
5,0,1,4200000,9400000,6,678,0,25800000
5,1,0,5200000,12200000,20,513,1,37600000
5,0,0,9400000,27900000,4,870,0,41200000
3,0,0,8800000,20400000,8,483,1,54600000
1,0,1,5900000,16700000,16,308,1,39000000
3,0,1,1700000,4900000,16,591,0,11400000
1,1,0,7000000,23000000,10,886,0,48000000
4,1,0,1700000,4000000,6,829,0,8500000
0,1,0,1500000,4900000,12,651,0,9800000
4,1,0,2000000,4700000,18,733,0,17200000
5,0,1,3900000,15500000,12,433,1,27400000
1,0,1,900000,3600000,14,713,0,5300000
1,0,0,6900000,22500000,18,403,1,32400000
0,0,1,2800000,7800000,10,405,1,20800000
3,0,1,6800000,19900000,10,516,1,56500000
4,1,1,600000,1800000,8,417,1,5000000
1,1,0,4700000,14000000,6,468,1,28300000
5,0,1,3000000,11800000,10,672,0,26200000
5,1,0,4000000,13900000,6,530,1,30100000
1,1,1,3100000,11300000,14,824,0,25100000
1,1,1,7700000,25500000,12,549,1,56200000
5,1,1,4300000,9300000,10,450,1,22900000
1,0,1,5800000,19500000,20,431,1,37700000
3,0,1,3600000,10700000,16,312,1,22200000
0,1,1,2900000,7600000,8,320,1,26300000
0,0,0,8800000,20200000,4,433,1,63100000
1,1,1,300000,1000000,10,431,1,1900000
5,1,1,8600000,28900000,8,516,1,48700000
2,1,1,3500000,12000000,14,476,1,23200000
5,0,0,800000,2600000,6,560,0,4300000
2,0,0,8000000,27100000,12,674,0,46500000
0,1,1,9900000,38200000,6,573,0,53200000
2,1,0,3300000,6600000,6,331,1,19900000
4,0,1,2000000,6700000,12,633,0,7700000
3,1,0,4900000,12900000,18,877,0,30000000
5,1,1,9200000,23600000,12,656,0,53900000
0,1,0,7500000,18200000,6,782,0,43300000
5,1,0,9000000,29300000,4,531,0,61200000
3,1,0,1400000,4100000,8,455,1,9400000
3,0,0,9600000,19900000,14,452,1,55500000
2,0,0,8400000,33200000,14,474,1,71500000
3,1,0,6400000,24400000,4,483,0,33800000
4,0,0,5900000,16800000,8,481,1,41100000
2,0,1,2200000,5100000,20,859,0,14500000
4,0,1,5600000,14100000,14,696,0,41500000
4,1,0,9800000,28700000,6,778,0,64800000
4,0,0,4400000,14600000,4,499,0,29600000
2,1,1,2400000,4900000,4,888,0,19200000
1,0,0,4400000,10800000,12,674,0,34800000
4,0,0,3700000,13200000,4,802,0,29000000
4,1,1,2300000,7800000,8,540,1,12400000
4,0,1,5900000,19600000,8,726,0,52300000
4,1,1,6400000,23500000,2,485,0,37500000
4,0,1,4900000,17100000,6,612,0,32800000
3,1,1,9500000,24200000,8,879,0,59400000
2,1,0,5700000,16400000,12,708,0,23900000
2,1,1,2700000,5700000,8,850,0,22900000
2,1,1,3900000,11300000,12,516,1,18100000
0,1,0,7800000,28800000,12,465,1,48400000
0,0,0,1100000,3200000,20,716,0,8300000
4,1,0,200000,600000,10,404,1,500000
0,1,1,4700000,10600000,20,512,1,31700000
3,1,1,8200000,20600000,10,441,1,62700000
2,1,1,4600000,18400000,2,555,0,28500000
5,1,0,1800000,7000000,18,466,1,12600000
3,0,1,3200000,8600000,2,427,1,17500000
4,1,1,5500000,20000000,14,593,0,42600000
3,0,0,7900000,18300000,10,731,0,38200000
1,0,1,4000000,10100000,16,451,1,29100000
3,1,1,6800000,16900000,18,628,0,25000000
1,1,0,2700000,9400000,18,704,0,16400000
2,1,0,6800000,23500000,12,341,1,53900000
5,0,0,8600000,21000000,8,465,1,56000000
4,0,0,8000000,30100000,4,431,0,56000000
1,0,1,3700000,12600000,10,424,1,25100000
0,0,0,2600000,5100000,14,678,0,10800000
4,0,0,4200000,16800000,6,381,1,34100000
5,0,1,8000000,28000000,10,449,1,41300000
1,1,0,7100000,23500000,12,768,0,48200000
0,1,0,2000000,7000000,6,666,1,6900000
4,1,1,5800000,13300000,14,742,0,48700000
3,1,1,6700000,15800000,4,445,1,41300000
2,0,0,7300000,28700000,14,634,0,41700000
4,1,0,3300000,9700000,14,782,0,15100000
0,0,0,3000000,7000000,10,781,0,22200000
4,1,0,7900000,17200000,14,318,1,55900000
5,1,0,7600000,24100000,18,721,0,63500000
5,1,0,3700000,9800000,4,563,0,28800000
2,1,0,8400000,26300000,4,419,0,66200000
0,0,1,8200000,20800000,14,372,1,35200000
0,1,0,2900000,9500000,18,885,0,16600000
1,1,1,9900000,38400000,12,596,0,62600000
0,0,0,4400000,14100000,2,349,0,19600000
1,1,1,9000000,32200000,16,468,1,60400000
3,1,1,6800000,26900000,16,818,0,58700000
2,1,0,8700000,28000000,12,543,1,52500000
3,0,0,9400000,21900000,16,685,0,53200000
3,1,1,6000000,12500000,18,851,0,41400000
1,1,1,9400000,29800000,10,377,1,85200000
0,1,1,1000000,4000000,10,620,0,8500000
3,0,1,900000,2300000,20,611,0,4500000
4,1,0,2100000,7700000,4,767,0,11100000
5,0,1,1100000,3200000,20,592,0,7900000
0,0,1,600000,2300000,4,319,0,5400000
4,1,1,9200000,25500000,10,900,0,60100000
2,1,1,3600000,12800000,18,814,0,27100000
5,1,1,1300000,5000000,10,755,0,11000000
5,0,1,7700000,16800000,20,584,0,44800000
4,0,1,9500000,23500000,14,380,1,62000000
2,1,1,5000000,17600000,20,465,1,33100000
0,1,0,500000,1800000,2,531,0,4400000
1,0,1,8300000,32100000,16,814,0,57600000
0,0,0,5300000,17900000,6,678,0,26600000
2,1,1,9300000,29000000,12,655,0,49500000
3,1,0,2300000,7400000,2,682,0,18600000
1,1,0,400000,1300000,6,695,0,1600000
3,1,0,3200000,10800000,4,833,0,14900000
5,1,1,9400000,35300000,16,302,1,66500000
1,0,0,2300000,6600000,2,357,1,14300000
5,1,0,4300000,14500000,12,302,1,34400000
0,0,1,6200000,22400000,18,873,0,46300000
0,1,1,7200000,19800000,12,658,0,53100000
5,0,1,2400000,8700000,18,877,0,13900000
3,1,0,2900000,6300000,8,648,0,15800000
1,0,0,1400000,5200000,12,730,0,7300000
4,1,1,2200000,8200000,14,737,0,18200000
2,0,1,800000,3200000,10,584,1,3000000
0,0,0,600000,1700000,2,621,0,3000000
4,0,1,700000,2700000,16,583,0,4000000
2,1,0,8400000,25900000,16,621,0,59700000
2,1,0,7100000,21500000,16,610,0,41400000
4,0,0,5400000,15700000,18,452,1,39400000
5,0,0,3700000,7300000,18,339,1,28600000
3,0,1,5200000,15200000,16,650,0,24600000
4,1,1,200000,700000,10,672,0,1000000
3,0,0,500000,1000000,20,501,1,2700000
2,1,1,1800000,5700000,4,809,0,11800000
5,0,1,9200000,29400000,8,318,1,63100000
4,1,0,900000,3300000,10,649,0,3400000
3,1,0,7500000,28300000,12,367,1,50200000
5,1,0,3000000,11800000,6,847,0,19800000
5,0,0,7100000,18900000,12,360,1,40100000
1,0,1,3500000,7200000,2,865,0,23400000
4,1,0,4900000,18800000,16,880,0,24700000
1,0,0,4100000,8400000,20,608,0,23800000
0,0,1,800000,2100000,6,760,0,2600000
3,0,1,1700000,4600000,12,385,1,9700000
0,0,1,6100000,23300000,12,478,1,28700000
1,0,1,2100000,7700000,16,327,1,12500000
0,0,0,3100000,9300000,6,663,0,14600000
2,1,1,1700000,3500000,20,693,0,10100000
3,0,0,1700000,5400000,6,710,0,13000000
4,1,1,4000000,14500000,6,711,0,23100000
5,0,0,5600000,18400000,8,386,1,34900000
4,0,1,3900000,11900000,10,855,0,27200000
4,0,1,6100000,15300000,14,573,0,32700000
0,0,1,1100000,2800000,18,431,1,6500000
2,0,0,5500000,14800000,8,364,1,34600000
4,0,1,1100000,3600000,14,711,0,7200000
4,1,1,400000,900000,20,771,0,3600000
3,0,0,9200000,36400000,18,669,0,59000000
4,1,1,9300000,27500000,18,338,1,63500000
1,0,0,1100000,3500000,8,562,0,7200000
3,1,0,5600000,18700000,2,769,0,38300000
0,0,1,6300000,21500000,8,629,0,31200000
3,0,0,8800000,18100000,6,699,0,36400000
0,1,0,8400000,20800000,20,590,0,56900000
3,0,1,1600000,5700000,4,707,0,14500000
3,1,1,4500000,11400000,8,391,1,29700000
5,1,0,6500000,18500000,4,891,0,47600000
3,0,1,9500000,20600000,2,731,0,47100000
3,1,0,4700000,16700000,12,775,0,26500000
5,0,1,9600000,32400000,2,897,0,51900000
5,0,0,8000000,26700000,20,794,0,60400000
2,0,0,7700000,16700000,6,555,0,42400000
1,1,1,3600000,10300000,12,536,1,22200000
2,1,0,700000,1700000,10,839,0,3700000
0,0,1,1400000,5100000,6,890,0,13100000
1,0,1,8600000,27900000,20,415,1,62000000
4,0,0,4700000,15700000,4,868,0,24400000
3,0,1,2900000,5800000,12,353,1,24200000
4,1,0,9000000,29000000,16,590,0,61700000
5,0,1,500000,900000,18,618,0,3600000
2,1,1,700000,1700000,10,539,1,5200000
0,0,0,6800000,27000000,4,429,0,55500000
2,0,0,1800000,4700000,8,792,0,12000000
0,1,0,6000000,12400000,2,608,0,29800000
4,0,1,5400000,21500000,14,555,0,27600000
5,0,1,8400000,17500000,12,620,0,60700000
0,0,0,7400000,20900000,6,635,0,57800000
2,0,0,3200000,12500000,10,457,1,20600000
1,0,1,5400000,21400000,8,350,1,30100000
5,0,1,1000000,2500000,14,885,0,5700000
0,0,0,4400000,14700000,16,638,0,23800000
1,0,1,3800000,10500000,12,710,0,23000000
3,1,1,6100000,20900000,18,470,1,34500000
5,1,1,5500000,17300000,16,874,0,25500000
5,1,1,500000,1800000,18,411,1,3000000
0,1,1,300000,1100000,2,482,0,1800000
1,0,1,6200000,16900000,2,396,1,49400000
0,1,0,300000,900000,20,436,1,1200000
0,1,1,6900000,22100000,20,303,1,47100000
4,0,0,3700000,11400000,12,728,0,19600000
3,1,1,8800000,28600000,10,775,0,51800000
5,0,1,8200000,23500000,12,402,1,46700000
1,1,1,9200000,31500000,18,698,0,40100000
0,1,0,2400000,7800000,14,665,0,17200000
4,1,0,4100000,13500000,18,490,1,26800000
1,0,0,8000000,31900000,12,504,1,53400000
3,1,1,3600000,8600000,8,790,0,26300000
1,1,1,700000,2700000,20,669,0,4200000
4,1,0,8300000,30700000,6,381,1,55300000
0,0,1,5300000,15000000,2,900,0,30600000
4,0,0,8300000,24900000,16,506,1,54700000
3,1,1,2500000,8800000,12,538,1,19100000
3,0,1,5400000,14400000,8,677,0,42800000
4,0,0,1600000,4900000,8,685,0,10500000
2,1,0,2400000,6200000,12,860,0,19200000
5,1,0,6300000,14800000,6,608,0,53800000
4,0,1,2500000,5300000,10,540,1,13900000
0,0,1,7500000,16800000,16,492,1,62800000
3,1,0,2900000,8500000,14,834,0,16300000
3,0,1,1000000,3500000,16,834,0,6200000
2,0,1,8600000,28800000,8,890,0,57600000
1,1,0,300000,1100000,12,443,1,2400000
5,1,0,2300000,5700000,18,329,1,16500000
2,1,1,2400000,5400000,12,739,0,10800000
5,0,1,9800000,30300000,6,867,0,74600000
2,1,0,8100000,24800000,6,307,1,45800000
3,0,0,6700000,15500000,18,492,1,39800000
1,1,1,8400000,24700000,18,698,0,81100000
2,0,0,200000,700000,8,851,0,1600000
2,0,0,4700000,12500000,14,375,1,23100000
0,0,1,4300000,14300000,14,601,0,27100000
4,1,0,2200000,7000000,20,756,0,14400000
4,0,1,8600000,19200000,4,868,0,64000000
4,0,1,2000000,7200000,10,838,0,11400000
4,1,1,4200000,15900000,14,375,1,34300000
0,1,1,5100000,12500000,18,778,0,22300000
2,0,1,4100000,11200000,6,442,1,30800000
1,0,1,9900000,39500000,12,808,0,59200000
1,1,1,3200000,9000000,20,372,1,16500000
2,0,0,5500000,19000000,4,597,0,29100000
0,0,1,7800000,29100000,20,435,1,61100000
3,0,1,3400000,9700000,20,728,0,12700000
4,0,1,7900000,25900000,14,373,1,60500000
3,0,1,8900000,18500000,10,367,1,48400000
2,0,0,7300000,19100000,14,552,0,36200000
4,1,1,3300000,10600000,8,465,1,15000000
4,0,1,2900000,10500000,8,607,0,21300000
2,0,1,500000,1300000,4,427,1,4300000
3,1,0,7200000,21200000,4,711,0,45600000
3,1,0,8300000,24100000,14,823,0,38300000
1,1,1,8700000,20500000,6,523,1,54300000
4,1,1,7100000,27900000,10,328,1,56600000
3,0,1,9800000,28200000,12,721,0,53800000
0,0,1,6900000,17000000,20,599,0,58400000
0,1,0,2400000,5000000,14,580,0,19000000
1,1,1,2100000,4900000,10,744,0,8600000
2,0,1,7200000,23900000,4,559,0,45000000
2,0,0,4600000,13500000,16,587,0,29200000
5,0,1,9900000,31800000,18,817,0,68200000
4,1,1,300000,1000000,20,655,0,1600000
5,0,1,6900000,23900000,6,382,1,54400000
2,0,1,1700000,4300000,6,765,0,10800000
2,0,1,4400000,10000000,20,516,1,32300000
4,1,1,4300000,15000000,8,383,1,18700000
2,1,0,3700000,14100000,6,633,0,15700000
1,0,0,5900000,15200000,2,547,1,37400000
5,1,1,8600000,26300000,10,843,0,62500000
3,1,1,3400000,13200000,8,783,0,24700000
3,1,1,1000000,3200000,14,790,0,6700000
1,1,1,4400000,14200000,16,409,1,31100000
0,1,0,3600000,7800000,14,376,1,31600000
3,1,0,1400000,2700000,8,625,0,9300000
0,1,0,5300000,10900000,18,707,0,35800000
3,0,1,9400000,20500000,6,645,0,65100000
4,1,1,6600000,22100000,6,887,0,31600000
5,0,0,9800000,37600000,18,319,1,49300000
1,1,0,1900000,4900000,20,647,0,14700000
2,1,1,5800000,22500000,6,888,0,36400000
2,1,0,3100000,10400000,10,420,1,26300000
0,0,0,6800000,18400000,2,791,0,35000000
5,1,0,4600000,16200000,12,891,0,21600000
2,1,1,200000,700000,16,641,0,1500000
3,1,1,9500000,22800000,6,319,1,62500000
5,1,1,6200000,22200000,20,819,0,50500000
4,1,1,9700000,32300000,18,387,1,51300000
5,0,1,4200000,12300000,2,686,0,30500000
1,0,1,5700000,12000000,4,415,1,41300000
4,0,0,8000000,25500000,4,722,0,62200000
4,0,0,5200000,20400000,20,761,0,26800000
1,0,1,7100000,15200000,8,389,1,37000000
1,0,1,9300000,27900000,12,600,0,41900000
5,0,0,2000000,6100000,2,407,0,10400000
3,0,1,3900000,14000000,18,829,0,23500000
2,1,0,2800000,5900000,6,895,0,17300000
5,0,1,3000000,11100000,12,441,1,20300000
4,1,0,4500000,9800000,16,895,0,37400000
4,0,0,1900000,4300000,4,826,0,10300000
1,0,0,2300000,7200000,8,453,1,16600000
0,0,0,4700000,17500000,2,701,0,26400000
2,1,1,1300000,2700000,8,627,0,4300000
3,0,0,3100000,11000000,2,543,0,19500000
0,0,0,8400000,17500000,18,411,1,60200000
5,0,1,1700000,5800000,4,583,0,12100000
2,1,0,1900000,7500000,2,889,0,11400000
3,1,0,2400000,8600000,8,684,0,13600000
5,0,0,6800000,20500000,10,578,0,42900000
1,0,0,2900000,10900000,20,445,1,21300000
4,0,1,8900000,26300000,10,369,1,70400000
1,1,0,8800000,22200000,18,794,0,51800000
0,0,1,8200000,19200000,16,492,1,52900000
3,1,1,3600000,13200000,16,557,0,25800000
4,0,1,9500000,31800000,6,519,1,47800000
